date,temp_c,rainfall_mm,humidity_pct,wind_ms,city,lat,lon
1984-01-01,11.58,0.0,27.1,2.08,Faisalabad,31.4504,73.135
1984-01-02,11.03,0.02,30.8,2.99,Faisalabad,31.4504,73.135
1984-01-03,13.13,0.0,26.34,1.73,Faisalabad,31.4504,73.135
1984-01-04,12.53,0.0,24.85,1.51,Faisalabad,31.4504,73.135
1984-01-05,12.04,0.0,24.96,1.15,Faisalabad,31.4504,73.135
1984-01-06,11.08,0.0,28.6,2.14,Faisalabad,31.4504,73.135
1984-01-07,10.21,0.01,32.7,1.97,Faisalabad,31.4504,73.135
1984-01-08,11.05,0.0,31.95,1.79,Faisalabad,31.4504,73.135
1984-01-09,11.2,0.0,33.83,1.81,Faisalabad,31.4504,73.135
1984-01-10,11.38,0.0,27.84,2.08,Faisalabad,31.4504,73.135
1984-01-11,13.03,0.0,29.14,2.07,Faisalabad,31.4504,73.135
1984-01-12,12.87,0.0,34.76,2.46,Faisalabad,31.4504,73.135
1984-01-13,12.21,0.0,43.72,2.77,Faisalabad,31.4504,73.135
1984-01-14,11.59,0.01,41.11,2.15,Faisalabad,31.4504,73.135
1984-01-15,11.36,0.0,26.48,2.07,Faisalabad,31.4504,73.135
1984-01-16,10.93,0.0,26.13,3.36,Faisalabad,31.4504,73.135
1984-01-17,12.96,0.0,22.86,1.2,Faisalabad,31.4504,73.135
1984-01-18,11.76,0.0,29.91,3.19,Faisalabad,31.4504,73.135
1984-01-19,12.2,0.0,41.32,2.41,Faisalabad,31.4504,73.135
1984-01-20,12.15,0.41,33.33,2.24,Faisalabad,31.4504,73.135
1984-01-21,12.04,0.0,35.39,2.47,Faisalabad,31.4504,73.135
1984-01-22,11.83,0.27,47.59,1.73,Faisalabad,31.4504,73.135
1984-01-23,11.53,0.0,36.97,2.43,Faisalabad,31.4504,73.135
1984-01-24,9.9,0.0,34.36,2.78,Faisalabad,31.4504,73.135
1984-01-25,11.18,0.0,29.95,2.59,Faisalabad,31.4504,73.135
1984-01-26,10.98,0.0,28.86,1.88,Faisalabad,31.4504,73.135
1984-01-27,11.94,0.0,26.14,2.08,Faisalabad,31.4504,73.135
1984-01-28,12.33,0.0,23.58,2.1,Faisalabad,31.4504,73.135
1984-01-29,12.58,0.0,23.28,2.47,Faisalabad,31.4504,73.135
1984-01-30,12.64,0.0,22.45,2.18,Faisalabad,31.4504,73.135
1984-01-31,14.23,0.0,20.11,2.28,Faisalabad,31.4504,73.135
1984-02-01,13.32,0.0,20.94,2.19,Faisalabad,31.4504,73.135
1984-02-02,12.95,0.0,35.06,2.7,Faisalabad,31.4504,73.135
1984-02-03,13.07,0.0,31.07,2.8,Faisalabad,31.4504,73.135
1984-02-04,10.04,0.0,34.67,2.81,Faisalabad,31.4504,73.135
1984-02-05,9.45,0.0,22.77,3.32,Faisalabad,31.4504,73.135
1984-02-06,12.55,0.0,16.16,1.66,Faisalabad,31.4504,73.135
1984-02-07,12.46,0.0,28.45,3.19,Faisalabad,31.4504,73.135
1984-02-08,11.79,0.0,39.46,2.77,Faisalabad,31.4504,73.135
1984-02-09,12.46,0.0,23.91,2.89,Faisalabad,31.4504,73.135
1984-02-10,14.01,0.0,42.96,1.68,Faisalabad,31.4504,73.135
1984-02-11,14.55,0.0,31.05,1.83,Faisalabad,31.4504,73.135
1984-02-12,14.78,0.0,28.77,2.11,Faisalabad,31.4504,73.135
1984-02-13,14.0,0.0,27.77,3.44,Faisalabad,31.4504,73.135
1984-02-14,16.47,0.0,21.8,1.62,Faisalabad,31.4504,73.135
1984-02-15,16.9,0.0,19.6,2.26,Faisalabad,31.4504,73.135
1984-02-16,16.79,0.0,20.41,3.18,Faisalabad,31.4504,73.135
1984-02-17,14.53,0.03,44.7,4.33,Faisalabad,31.4504,73.135
1984-02-18,15.87,0.04,48.61,4.24,Faisalabad,31.4504,73.135
1984-02-19,11.04,17.09,75.08,4.07,Faisalabad,31.4504,73.135
1984-02-20,10.59,1.45,57.85,2.87,Faisalabad,31.4504,73.135
1984-02-21,9.27,3.41,60.36,2.83,Faisalabad,31.4504,73.135
1984-02-22,9.59,0.57,41.34,2.8,Faisalabad,31.4504,73.135
1984-02-23,10.0,0.0,29.59,3.04,Faisalabad,31.4504,73.135
1984-02-24,11.16,0.0,22.06,2.04,Faisalabad,31.4504,73.135
1984-02-25,10.95,0.0,24.66,2.34,Faisalabad,31.4504,73.135
1984-02-26,12.83,0.0,29.05,2.54,Faisalabad,31.4504,73.135
1984-02-27,14.38,0.0,32.09,2.93,Faisalabad,31.4504,73.135
1984-02-28,16.73,0.0,32.61,2.63,Faisalabad,31.4504,73.135
1984-02-29,17.62,0.0,35.24,1.6,Faisalabad,31.4504,73.135
1984-03-01,18.07,0.0,35.3,2.43,Faisalabad,31.4504,73.135
1984-03-02,18.66,0.0,29.28,2.76,Faisalabad,31.4504,73.135
1984-03-03,19.33,0.0,26.51,1.88,Faisalabad,31.4504,73.135
1984-03-04,19.69,0.0,26.59,1.9,Faisalabad,31.4504,73.135
1984-03-05,19.63,0.0,26.79,2.93,Faisalabad,31.4504,73.135
1984-03-06,20.83,0.0,26.99,2.16,Faisalabad,31.4504,73.135
1984-03-07,21.24,0.0,28.4,1.94,Faisalabad,31.4504,73.135
1984-03-08,21.03,0.0,34.78,2.97,Faisalabad,31.4504,73.135
1984-03-09,22.23,0.0,30.03,2.55,Faisalabad,31.4504,73.135
1984-03-10,24.32,0.0,25.6,2.92,Faisalabad,31.4504,73.135
1984-03-11,22.91,0.0,25.78,3.25,Faisalabad,31.4504,73.135
1984-03-12,22.54,0.0,25.48,2.15,Faisalabad,31.4504,73.135
1984-03-13,22.65,0.0,30.4,2.05,Faisalabad,31.4504,73.135
1984-03-14,22.9,0.0,30.65,1.94,Faisalabad,31.4504,73.135
1984-03-15,24.05,0.0,31.3,1.85,Faisalabad,31.4504,73.135
1984-03-16,25.74,0.0,27.53,3.22,Faisalabad,31.4504,73.135
1984-03-17,21.79,0.03,40.65,2.01,Faisalabad,31.4504,73.135
1984-03-18,20.39,10.72,53.12,3.84,Faisalabad,31.4504,73.135
1984-03-19,19.15,0.0,54.79,3.2,Faisalabad,31.4504,73.135
1984-03-20,21.16,0.71,34.51,3.34,Faisalabad,31.4504,73.135
1984-03-21,25.11,0.0,27.95,1.73,Faisalabad,31.4504,73.135
1984-03-22,26.94,0.0,29.87,1.73,Faisalabad,31.4504,73.135
1984-03-23,27.79,0.0,30.94,1.29,Faisalabad,31.4504,73.135
1984-03-24,28.05,0.0,32.23,3.17,Faisalabad,31.4504,73.135
