date,temp_c,rainfall_mm,humidity_pct,wind_ms,city,lat,lon
1984-01-01,16.05,0.0,43.87,2.7,Hyderabad,25.396,68.3578
1984-01-02,13.99,0.0,28.92,4.05,Hyderabad,25.396,68.3578
1984-01-03,15.23,0.0,28.29,1.8,Hyderabad,25.396,68.3578
1984-01-04,16.36,0.0,59.85,2.92,Hyderabad,25.396,68.3578
1984-01-05,18.36,0.0,25.87,2.15,Hyderabad,25.396,68.3578
1984-01-06,13.55,0.0,21.09,3.85,Hyderabad,25.396,68.3578
1984-01-07,12.44,0.0,26.6,4.24,Hyderabad,25.396,68.3578
1984-01-08,12.48,0.0,28.73,4.32,Hyderabad,25.396,68.3578
1984-01-09,12.84,0.0,28.92,4.1,Hyderabad,25.396,68.3578
1984-01-10,13.93,0.0,28.69,3.31,Hyderabad,25.396,68.3578
1984-01-11,14.59,0.0,26.46,5.24,Hyderabad,25.396,68.3578
1984-01-12,16.65,0.0,31.8,2.52,Hyderabad,25.396,68.3578
1984-01-13,15.83,0.04,36.83,2.31,Hyderabad,25.396,68.3578
1984-01-14,16.19,0.0,40.18,2.3,Hyderabad,25.396,68.3578
1984-01-15,15.98,0.0,42.65,3.04,Hyderabad,25.396,68.3578
1984-01-16,16.15,0.0,26.76,2.11,Hyderabad,25.396,68.3578
1984-01-17,17.93,0.0,47.43,3.1,Hyderabad,25.396,68.3578
1984-01-18,19.0,0.0,56.5,5.3,Hyderabad,25.396,68.3578
1984-01-19,15.55,0.0,30.61,4.57,Hyderabad,25.396,68.3578
1984-01-20,16.51,0.0,26.1,2.36,Hyderabad,25.396,68.3578
1984-01-21,16.98,0.0,50.02,3.35,Hyderabad,25.396,68.3578
1984-01-22,14.7,0.0,31.89,5.2,Hyderabad,25.396,68.3578
1984-01-23,14.11,0.0,30.18,3.49,Hyderabad,25.396,68.3578
1984-01-24,14.76,0.0,26.08,3.02,Hyderabad,25.396,68.3578
1984-01-25,16.31,0.0,23.06,1.94,Hyderabad,25.396,68.3578
1984-01-26,16.66,0.0,24.4,1.71,Hyderabad,25.396,68.3578
1984-01-27,15.45,0.0,18.87,2.54,Hyderabad,25.396,68.3578
1984-01-28,15.95,0.0,18.53,2.39,Hyderabad,25.396,68.3578
1984-01-29,16.13,0.0,20.9,2.87,Hyderabad,25.396,68.3578
1984-01-30,15.39,0.0,19.38,3.15,Hyderabad,25.396,68.3578
1984-01-31,16.06,0.0,26.6,2.91,Hyderabad,25.396,68.3578
1984-02-01,17.44,0.0,51.97,3.14,Hyderabad,25.396,68.3578
1984-02-02,15.66,0.0,26.8,3.85,Hyderabad,25.396,68.3578
1984-02-03,13.94,0.0,16.51,3.86,Hyderabad,25.396,68.3578
1984-02-04,12.58,0.0,13.57,4.85,Hyderabad,25.396,68.3578
1984-02-05,12.44,0.0,15.18,4.36,Hyderabad,25.396,68.3578
1984-02-06,14.79,0.0,19.54,2.69,Hyderabad,25.396,68.3578
1984-02-07,15.86,0.0,28.88,4.69,Hyderabad,25.396,68.3578
1984-02-08,16.77,0.0,15.85,2.22,Hyderabad,25.396,68.3578
1984-02-09,17.82,0.0,40.57,3.97,Hyderabad,25.396,68.3578
1984-02-10,19.26,0.0,37.43,3.63,Hyderabad,25.396,68.3578
1984-02-11,16.93,0.0,26.51,3.8,Hyderabad,25.396,68.3578
1984-02-12,17.49,0.0,22.82,4.67,Hyderabad,25.396,68.3578
1984-02-13,17.15,0.0,22.91,4.18,Hyderabad,25.396,68.3578
1984-02-14,19.46,0.0,18.71,1.65,Hyderabad,25.396,68.3578
1984-02-15,20.6,0.0,38.18,2.5,Hyderabad,25.396,68.3578
1984-02-16,21.17,0.0,55.37,3.34,Hyderabad,25.396,68.3578
1984-02-17,20.03,0.0,48.45,3.11,Hyderabad,25.396,68.3578
1984-02-18,19.13,0.0,35.26,4.61,Hyderabad,25.396,68.3578
1984-02-19,12.9,0.0,8.76,4.27,Hyderabad,25.396,68.3578
1984-02-20,11.77,0.02,7.6,3.33,Hyderabad,25.396,68.3578
1984-02-21,12.46,0.04,7.83,4.12,Hyderabad,25.396,68.3578
1984-02-22,12.7,0.0,8.42,3.77,Hyderabad,25.396,68.3578
1984-02-23,16.16,0.0,11.91,2.33,Hyderabad,25.396,68.3578
1984-02-24,17.34,0.0,15.22,1.51,Hyderabad,25.396,68.3578
1984-02-25,17.73,0.0,15.53,2.42,Hyderabad,25.396,68.3578
1984-02-26,18.77,0.0,14.67,3.13,Hyderabad,25.396,68.3578
1984-02-27,20.8,0.0,17.81,2.83,Hyderabad,25.396,68.3578
1984-02-28,22.58,0.0,18.59,2.1,Hyderabad,25.396,68.3578
1984-02-29,23.45,0.0,18.78,1.9,Hyderabad,25.396,68.3578
1984-03-01,24.09,0.0,21.56,2.69,Hyderabad,25.396,68.3578
1984-03-02,24.13,0.0,23.2,3.31,Hyderabad,25.396,68.3578
1984-03-03,23.56,0.0,22.38,3.57,Hyderabad,25.396,68.3578
1984-03-04,24.31,0.0,18.31,2.85,Hyderabad,25.396,68.3578
1984-03-05,24.59,0.0,18.69,2.88,Hyderabad,25.396,68.3578
1984-03-06,24.66,0.0,22.16,2.58,Hyderabad,25.396,68.3578
1984-03-07,25.21,0.0,22.22,2.68,Hyderabad,25.396,68.3578
1984-03-08,26.28,0.0,22.48,2.8,Hyderabad,25.396,68.3578
1984-03-09,27.01,0.0,23.95,3.7,Hyderabad,25.396,68.3578
1984-03-10,26.97,0.0,49.02,5.57,Hyderabad,25.396,68.3578
1984-03-11,26.53,0.0,33.21,4.15,Hyderabad,25.396,68.3578
1984-03-12,26.37,0.0,29.94,3.83,Hyderabad,25.396,68.3578
1984-03-13,27.19,0.0,47.6,4.51,Hyderabad,25.396,68.3578
1984-03-14,25.83,0.0,52.17,4.89,Hyderabad,25.396,68.3578
1984-03-15,24.42,0.0,61.17,5.56,Hyderabad,25.396,68.3578
1984-03-16,25.22,0.01,59.57,5.29,Hyderabad,25.396,68.3578
1984-03-17,25.8,0.14,62.24,5.64,Hyderabad,25.396,68.3578
1984-03-18,25.9,0.0,47.25,4.24,Hyderabad,25.396,68.3578
1984-03-19,26.19,0.0,20.75,3.44,Hyderabad,25.396,68.3578
1984-03-20,28.1,0.0,34.5,3.18,Hyderabad,25.396,68.3578
1984-03-21,29.68,0.0,34.12,2.76,Hyderabad,25.396,68.3578
