date,temp_c,rainfall_mm,humidity_pct,wind_ms,city,lat,lon
1984-01-01,9.88,0.0,29.7,2.38,Islamabad,33.6844,73.0479
1984-01-02,11.0,0.0,30.45,2.65,Islamabad,33.6844,73.0479
1984-01-03,11.86,0.0,27.27,1.78,Islamabad,33.6844,73.0479
1984-01-04,10.87,0.0,25.75,1.9,Islamabad,33.6844,73.0479
1984-01-05,9.19,0.0,27.55,1.76,Islamabad,33.6844,73.0479
1984-01-06,9.21,0.0,31.6,1.92,Islamabad,33.6844,73.0479
1984-01-07,8.63,0.0,32.62,2.58,Islamabad,33.6844,73.0479
1984-01-08,10.61,0.0,30.64,2.05,Islamabad,33.6844,73.0479
1984-01-09,10.16,0.0,28.95,2.05,Islamabad,33.6844,73.0479
1984-01-10,11.57,0.0,25.94,2.14,Islamabad,33.6844,73.0479
1984-01-11,13.51,0.0,27.59,2.18,Islamabad,33.6844,73.0479
1984-01-12,12.09,0.0,38.6,2.48,Islamabad,33.6844,73.0479
1984-01-13,10.13,0.5,51.31,3.21,Islamabad,33.6844,73.0479
1984-01-14,11.26,0.47,30.46,2.22,Islamabad,33.6844,73.0479
1984-01-15,9.95,0.01,33.18,2.44,Islamabad,33.6844,73.0479
1984-01-16,9.89,0.05,35.78,2.54,Islamabad,33.6844,73.0479
1984-01-17,9.59,0.25,32.2,2.48,Islamabad,33.6844,73.0479
1984-01-18,7.56,0.25,58.75,2.39,Islamabad,33.6844,73.0479
1984-01-19,9.32,0.08,49.93,2.54,Islamabad,33.6844,73.0479
1984-01-20,9.73,0.94,34.01,2.27,Islamabad,33.6844,73.0479
1984-01-21,8.7,0.0,34.32,2.24,Islamabad,33.6844,73.0479
1984-01-22,9.79,0.0,36.72,2.4,Islamabad,33.6844,73.0479
1984-01-23,8.69,0.0,35.13,3.23,Islamabad,33.6844,73.0479
1984-01-24,9.86,0.0,24.96,2.11,Islamabad,33.6844,73.0479
1984-01-25,9.52,0.0,30.45,2.4,Islamabad,33.6844,73.0479
1984-01-26,8.94,0.0,32.11,2.41,Islamabad,33.6844,73.0479
1984-01-27,10.6,0.0,27.35,2.06,Islamabad,33.6844,73.0479
1984-01-28,9.96,0.0,27.52,2.86,Islamabad,33.6844,73.0479
1984-01-29,10.58,0.0,24.12,3.34,Islamabad,33.6844,73.0479
