date,temp_c,rainfall_mm,humidity_pct,wind_ms,city,lat,lon
1984-01-01,19.28,0.0,61.67,2.0,Karachi,24.8607,67.0011
1984-01-02,18.46,0.0,33.98,3.31,Karachi,24.8607,67.0011
1984-01-03,18.13,0.0,43.95,2.76,Karachi,24.8607,67.0011
1984-01-04,20.17,0.0,57.85,2.0,Karachi,24.8607,67.0011
1984-01-05,19.23,0.0,43.08,3.73,Karachi,24.8607,67.0011
1984-01-06,17.36,0.0,38.86,4.67,Karachi,24.8607,67.0011
1984-01-07,17.0,0.0,35.89,5.82,Karachi,24.8607,67.0011
1984-01-08,16.84,0.0,36.21,4.72,Karachi,24.8607,67.0011
1984-01-09,16.98,0.0,34.98,4.21,Karachi,24.8607,67.0011
1984-01-10,17.64,0.0,38.36,2.63,Karachi,24.8607,67.0011
1984-01-11,18.27,0.0,35.04,5.33,Karachi,24.8607,67.0011
1984-01-12,18.91,0.07,47.98,3.24,Karachi,24.8607,67.0011
1984-01-13,18.88,0.18,53.55,2.89,Karachi,24.8607,67.0011
1984-01-14,18.72,0.0,55.98,3.08,Karachi,24.8607,67.0011
1984-01-15,19.73,0.0,55.38,3.86,Karachi,24.8607,67.0011
1984-01-16,20.08,0.0,56.19,2.7,Karachi,24.8607,67.0011
1984-01-17,20.58,0.0,60.59,3.67,Karachi,24.8607,67.0011
1984-01-18,20.22,0.0,64.56,5.75,Karachi,24.8607,67.0011
1984-01-19,19.05,0.0,39.88,2.57,Karachi,24.8607,67.0011
1984-01-20,19.13,0.0,42.17,3.1,Karachi,24.8607,67.0011
1984-01-21,19.45,0.0,56.9,5.05,Karachi,24.8607,67.0011
1984-01-22,18.12,0.04,38.6,3.64,Karachi,24.8607,67.0011
1984-01-23,18.43,0.0,36.63,1.49,Karachi,24.8607,67.0011
1984-01-24,18.26,0.0,36.92,2.5,Karachi,24.8607,67.0011
1984-01-25,18.93,0.0,41.78,3.21,Karachi,24.8607,67.0011
1984-01-26,18.53,0.0,45.13,2.74,Karachi,24.8607,67.0011
1984-01-27,18.65,0.0,40.09,2.69,Karachi,24.8607,67.0011
1984-01-28,18.74,0.0,50.37,2.24,Karachi,24.8607,67.0011
1984-01-29,19.28,0.0,49.36,2.53,Karachi,24.8607,67.0011
1984-01-30,18.92,0.0,43.25,2.42,Karachi,24.8607,67.0011
1984-01-31,18.52,0.0,57.19,3.74,Karachi,24.8607,67.0011
1984-02-01,19.23,0.0,49.0,4.67,Karachi,24.8607,67.0011
1984-02-02,17.56,0.01,39.05,5.25,Karachi,24.8607,67.0011
1984-02-03,16.93,0.0,32.61,5.83,Karachi,24.8607,67.0011
1984-02-04,16.81,0.0,25.34,4.01,Karachi,24.8607,67.0011
1984-02-05,16.86,0.0,26.04,4.28,Karachi,24.8607,67.0011
1984-02-06,17.9,0.0,38.19,3.63,Karachi,24.8607,67.0011
1984-02-07,18.94,0.0,44.5,3.98,Karachi,24.8607,67.0011
1984-02-08,18.61,0.0,47.05,3.26,Karachi,24.8607,67.0011
1984-02-09,18.93,0.0,65.58,4.56,Karachi,24.8607,67.0011
1984-02-10,20.36,0.0,56.18,3.85,Karachi,24.8607,67.0011
1984-02-11,20.03,0.0,44.36,4.12,Karachi,24.8607,67.0011
1984-02-12,20.32,0.0,34.25,4.84,Karachi,24.8607,67.0011
1984-02-13,20.38,0.0,33.72,4.72,Karachi,24.8607,67.0011
1984-02-14,20.77,0.0,37.46,2.99,Karachi,24.8607,67.0011
1984-02-15,20.89,0.0,71.55,3.63,Karachi,24.8607,67.0011
1984-02-16,21.82,0.0,62.87,4.26,Karachi,24.8607,67.0011
1984-02-17,21.01,0.0,59.12,3.72,Karachi,24.8607,67.0011
1984-02-18,20.47,0.0,46.76,5.49,Karachi,24.8607,67.0011
1984-02-19,14.16,0.0,31.1,8.73,Karachi,24.8607,67.0011
1984-02-20,14.57,0.0,29.09,7.63,Karachi,24.8607,67.0011
1984-02-21,15.42,0.0,29.68,4.11,Karachi,24.8607,67.0011
1984-02-22,17.22,0.0,26.24,2.93,Karachi,24.8607,67.0011
1984-02-23,18.87,0.0,34.84,2.49,Karachi,24.8607,67.0011
1984-02-24,19.41,0.0,49.7,2.31,Karachi,24.8607,67.0011
1984-02-25,20.11,0.0,43.86,2.68,Karachi,24.8607,67.0011
1984-02-26,21.19,0.0,31.71,3.13,Karachi,24.8607,67.0011
1984-02-27,22.39,0.0,30.83,2.83,Karachi,24.8607,67.0011
1984-02-28,23.33,0.0,32.68,2.79,Karachi,24.8607,67.0011
1984-02-29,23.61,0.0,35.39,3.11,Karachi,24.8607,67.0011
1984-03-01,24.2,0.0,44.26,2.94,Karachi,24.8607,67.0011
1984-03-02,23.66,0.0,52.44,3.89,Karachi,24.8607,67.0011
1984-03-03,23.27,0.0,58.22,3.15,Karachi,24.8607,67.0011
1984-03-04,23.54,0.0,48.11,2.85,Karachi,24.8607,67.0011
1984-03-05,23.67,0.0,43.27,3.51,Karachi,24.8607,67.0011
1984-03-06,22.73,0.0,66.07,2.75,Karachi,24.8607,67.0011
1984-03-07,23.09,0.0,60.92,2.7,Karachi,24.8607,67.0011
1984-03-08,23.57,0.0,63.89,3.19,Karachi,24.8607,67.0011
1984-03-09,23.8,0.0,68.46,2.88,Karachi,24.8607,67.0011
1984-03-10,24.0,0.0,77.65,4.3,Karachi,24.8607,67.0011
1984-03-11,24.55,0.0,51.04,5.21,Karachi,24.8607,67.0011
1984-03-12,24.49,0.0,62.93,4.19,Karachi,24.8607,67.0011
1984-03-13,23.9,0.0,76.01,4.33,Karachi,24.8607,67.0011
1984-03-14,23.28,0.0,77.37,3.97,Karachi,24.8607,67.0011
1984-03-15,22.7,0.0,80.77,3.66,Karachi,24.8607,67.0011
1984-03-16,23.39,1.3,78.3,4.42,Karachi,24.8607,67.0011
1984-03-17,23.89,9.07,80.68,4.89,Karachi,24.8607,67.0011
