date,temp_c,rainfall_mm,humidity_pct,wind_ms,city,lat,lon
1984-01-01,11.9,0.0,26.64,1.85,Lahore,31.5204,74.3587
1984-01-02,11.29,0.08,29.9,2.92,Lahore,31.5204,74.3587
1984-01-03,12.92,0.0,26.53,1.64,Lahore,31.5204,74.3587
1984-01-04,12.59,0.0,23.3,1.27,Lahore,31.5204,74.3587
1984-01-05,11.71,0.0,23.08,1.69,Lahore,31.5204,74.3587
1984-01-06,10.82,0.0,31.67,2.24,Lahore,31.5204,74.3587
1984-01-07,10.3,0.16,37.63,2.15,Lahore,31.5204,74.3587
1984-01-08,12.17,0.0,32.23,1.39,Lahore,31.5204,74.3587
1984-01-09,11.54,0.0,35.16,1.62,Lahore,31.5204,74.3587
1984-01-10,12.17,0.0,28.04,1.89,Lahore,31.5204,74.3587
1984-01-11,13.68,0.0,24.93,2.15,Lahore,31.5204,74.3587
1984-01-12,14.1,0.0,29.68,2.02,Lahore,31.5204,74.3587
1984-01-13,13.4,0.0,49.91,3.03,Lahore,31.5204,74.3587
1984-01-14,11.9,0.01,38.25,2.48,Lahore,31.5204,74.3587
1984-01-15,11.76,0.0,27.14,2.16,Lahore,31.5204,74.3587
1984-01-16,11.34,0.01,26.51,3.3,Lahore,31.5204,74.3587
1984-01-17,11.45,0.03,29.02,2.64,Lahore,31.5204,74.3587
1984-01-18,11.82,0.04,31.16,2.81,Lahore,31.5204,74.3587
1984-01-19,12.29,0.0,43.51,2.48,Lahore,31.5204,74.3587
1984-01-20,11.43,0.23,33.69,2.63,Lahore,31.5204,74.3587
1984-01-21,12.81,0.0,30.88,2.24,Lahore,31.5204,74.3587
1984-01-22,12.68,0.08,42.56,2.18,Lahore,31.5204,74.3587
1984-01-23,11.76,0.03,38.69,2.31,Lahore,31.5204,74.3587
1984-01-24,10.19,0.0,29.95,2.85,Lahore,31.5204,74.3587
1984-01-25,11.69,0.0,29.01,1.69,Lahore,31.5204,74.3587
1984-01-26,11.06,0.0,27.59,2.13,Lahore,31.5204,74.3587
1984-01-27,11.33,0.0,26.77,2.95,Lahore,31.5204,74.3587
1984-01-28,11.57,0.0,25.11,3.25,Lahore,31.5204,74.3587
1984-01-29,11.99,0.0,23.51,3.17,Lahore,31.5204,74.3587
1984-01-30,12.0,0.0,20.44,3.07,Lahore,31.5204,74.3587
1984-01-31,14.75,0.0,16.82,1.81,Lahore,31.5204,74.3587
1984-02-01,13.75,0.0,20.97,2.69,Lahore,31.5204,74.3587
1984-02-02,14.63,0.0,28.03,2.49,Lahore,31.5204,74.3587
1984-02-03,14.24,0.02,32.35,3.34,Lahore,31.5204,74.3587
1984-02-04,11.33,0.01,21.36,2.58,Lahore,31.5204,74.3587
1984-02-05,9.95,0.08,25.08,3.37,Lahore,31.5204,74.3587
1984-02-06,12.02,0.0,18.88,1.98,Lahore,31.5204,74.3587
1984-02-07,12.97,0.0,19.98,2.79,Lahore,31.5204,74.3587
1984-02-08,11.95,0.0,30.83,3.08,Lahore,31.5204,74.3587
1984-02-09,12.83,0.04,23.32,3.2,Lahore,31.5204,74.3587
1984-02-10,14.98,0.02,24.23,1.91,Lahore,31.5204,74.3587
1984-02-11,14.26,0.0,33.14,2.1,Lahore,31.5204,74.3587
1984-02-12,14.5,0.0,28.97,2.34,Lahore,31.5204,74.3587
1984-02-13,13.85,0.0,26.91,4.03,Lahore,31.5204,74.3587
1984-02-14,15.67,0.0,22.04,2.49,Lahore,31.5204,74.3587
1984-02-15,16.36,0.0,20.08,1.8,Lahore,31.5204,74.3587
1984-02-16,17.21,0.03,21.3,3.01,Lahore,31.5204,74.3587
1984-02-17,16.59,0.05,33.27,3.47,Lahore,31.5204,74.3587
1984-02-18,17.6,0.8,43.45,4.87,Lahore,31.5204,74.3587
1984-02-19,14.44,24.96,72.63,4.96,Lahore,31.5204,74.3587
1984-02-20,10.47,11.58,61.66,3.12,Lahore,31.5204,74.3587
1984-02-21,9.64,0.0,41.59,1.63,Lahore,31.5204,74.3587
1984-02-22,8.82,4.72,44.87,3.45,Lahore,31.5204,74.3587
1984-02-23,8.97,0.0,37.08,4.02,Lahore,31.5204,74.3587
1984-02-24,9.76,0.0,31.67,3.16,Lahore,31.5204,74.3587
1984-02-25,9.65,0.0,34.01,3.44,Lahore,31.5204,74.3587
1984-02-26,11.89,0.0,36.19,3.87,Lahore,31.5204,74.3587
1984-02-27,13.51,0.0,38.25,4.03,Lahore,31.5204,74.3587
1984-02-28,15.04,0.0,38.95,4.0,Lahore,31.5204,74.3587
1984-02-29,16.88,0.0,39.4,2.84,Lahore,31.5204,74.3587
1984-03-01,17.78,0.0,40.75,3.57,Lahore,31.5204,74.3587
1984-03-02,17.44,0.0,35.2,3.71,Lahore,31.5204,74.3587
1984-03-03,19.02,0.0,30.29,1.92,Lahore,31.5204,74.3587
1984-03-04,19.83,0.0,28.24,2.09,Lahore,31.5204,74.3587
1984-03-05,20.37,0.0,26.29,1.79,Lahore,31.5204,74.3587
1984-03-06,19.86,0.0,32.03,2.67,Lahore,31.5204,74.3587
1984-03-07,20.32,0.0,34.93,2.74,Lahore,31.5204,74.3587
1984-03-08,20.69,0.0,38.55,3.79,Lahore,31.5204,74.3587
1984-03-09,20.07,0.0,38.81,4.13,Lahore,31.5204,74.3587
1984-03-10,23.16,0.0,32.08,2.25,Lahore,31.5204,74.3587
1984-03-11,22.32,0.0,30.17,4.82,Lahore,31.5204,74.3587
1984-03-12,22.43,0.0,34.31,2.44,Lahore,31.5204,74.3587
1984-03-13,22.3,0.04,35.89,2.47,Lahore,31.5204,74.3587
1984-03-14,22.7,0.0,38.87,3.32,Lahore,31.5204,74.3587
1984-03-15,24.36,0.0,35.89,1.76,Lahore,31.5204,74.3587
1984-03-16,24.62,0.0,34.91,3.36,Lahore,31.5204,74.3587
1984-03-17,22.66,0.03,39.9,1.94,Lahore,31.5204,74.3587
1984-03-18,20.11,28.03,52.01,4.45,Lahore,31.5204,74.3587
1984-03-19,18.94,0.0,55.11,3.12,Lahore,31.5204,74.3587
1984-03-20,20.27,0.2,41.97,4.32,Lahore,31.5204,74.3587
1984-03-21,22.5,0.0,36.58,3.49,Lahore,31.5204,74.3587
1984-03-22,26.04,0.0,33.5,2.1,Lahore,31.5204,74.3587
1984-03-23,26.95,0.0,34.84,1.61,Lahore,31.5204,74.3587
1984-03-24,25.98,0.0,40.76,2.11,Lahore,31.5204,74.3587
1984-03-25,24.84,0.5,44.68,2.47,Lahore,31.5204,74.3587
1984-03-26,25.08,0.15,48.73,2.85,Lahore,31.5204,74.3587
1984-03-27,25.89,0.1,38.63,2.42,Lahore,31.5204,74.3587
1984-03-28,28.13,0.0,31.88,2.36,Lahore,31.5204,74.3587
1984-03-29,29.54,0.0,32.44,2.06,Lahore,31.5204,74.3587
1984-03-30,29.33,0.0,32.14,2.24,Lahore,31.5204,74.3587
1984-03-31,27.77,0.03,31.88,2.92,Lahore,31.5204,74.3587
1984-04-01,27.39,1.48,38.55,3.58,Lahore,31.5204,74.3587
1984-04-02,25.23,8.26,46.79,3.39,Lahore,31.5204,74.3587
1984-04-03,25.3,0.99,39.65,2.33,Lahore,31.5204,74.3587
1984-04-04,24.58,0.28,36.02,2.24,Lahore,31.5204,74.3587
1984-04-05,24.56,4.9,36.92,2.16,Lahore,31.5204,74.3587
1984-04-06,24.83,0.0,33.92,2.71,Lahore,31.5204,74.3587
1984-04-07,25.33,0.01,32.73,2.34,Lahore,31.5204,74.3587
1984-04-08,24.86,0.0,31.89,2.87,Lahore,31.5204,74.3587
1984-04-09,24.12,0.03,36.27,2.94,Lahore,31.5204,74.3587
1984-04-10,25.52,0.46,33.22,3.24,Lahore,31.5204,74.3587
1984-04-11,26.42,0.0,26.64,2.43,Lahore,31.5204,74.3587
1984-04-12,28.61,0.0,25.45,2.47,Lahore,31.5204,74.3587
1984-04-13,30.0,0.0,28.33,2.58,Lahore,31.5204,74.3587
1984-04-14,31.56,0.0,23.94,3.17,Lahore,31.5204,74.3587
1984-04-15,31.28,0.0,22.58,2.51,Lahore,31.5204,74.3587
1984-04-16,31.54,0.0,23.96,3.67,Lahore,31.5204,74.3587
1984-04-17,29.19,0.03,29.19,3.24,Lahore,31.5204,74.3587
1984-04-18,29.66,0.0,28.05,2.84,Lahore,31.5204,74.3587
1984-04-19,30.02,3.29,27.48,2.4,Lahore,31.5204,74.3587
1984-04-20,28.78,0.49,30.66,2.94,Lahore,31.5204,74.3587
1984-04-21,26.71,0.13,28.44,2.92,Lahore,31.5204,74.3587
1984-04-22,27.08,0.85,28.04,2.56,Lahore,31.5204,74.3587
1984-04-23,28.87,0.9,28.11,2.11,Lahore,31.5204,74.3587
1984-04-24,30.46,0.0,22.82,1.56,Lahore,31.5204,74.3587
1984-04-25,31.74,0.0,21.33,1.89,Lahore,31.5204,74.3587
1984-04-26,33.47,0.0,19.69,1.44,Lahore,31.5204,74.3587
1984-04-27,33.47,0.02,21.62,2.83,Lahore,31.5204,74.3587
1984-04-28,31.96,0.0,24.75,4.06,Lahore,31.5204,74.3587
1984-04-29,31.61,0.06,15.46,2.01,Lahore,31.5204,74.3587
1984-04-30,31.04,0.08,14.74,2.63,Lahore,31.5204,74.3587
1984-05-01,30.74,0.08,13.76,4.66,Lahore,31.5204,74.3587
1984-05-02,31.59,0.0,12.62,3.91,Lahore,31.5204,74.3587
1984-05-03,33.79,0.0,12.28,2.04,Lahore,31.5204,74.3587
1984-05-04,32.59,0.0,13.24,3.06,Lahore,31.5204,74.3587
1984-05-05,34.66,0.0,13.73,4.76,Lahore,31.5204,74.3587
1984-05-06,35.94,0.0,12.65,2.13,Lahore,31.5204,74.3587
1984-05-07,36.64,0.0,12.02,2.61,Lahore,31.5204,74.3587
