date,temp_c,rainfall_mm,humidity_pct,wind_ms,city,lat,lon
1984-01-01,9.89,0.0,28.69,1.35,Peshawar,34.0151,71.5805
1984-01-02,10.96,0.0,27.47,2.41,Peshawar,34.0151,71.5805
1984-01-03,11.75,0.0,25.7,1.42,Peshawar,34.0151,71.5805
1984-01-04,11.98,0.0,25.19,0.99,Peshawar,34.0151,71.5805
1984-01-05,10.81,0.0,29.28,1.86,Peshawar,34.0151,71.5805
1984-01-06,9.34,0.0,23.06,1.69,Peshawar,34.0151,71.5805
1984-01-07,8.67,0.0,28.21,1.64,Peshawar,34.0151,71.5805
1984-01-08,10.17,0.0,25.01,1.72,Peshawar,34.0151,71.5805
1984-01-09,10.16,0.0,24.04,2.08,Peshawar,34.0151,71.5805
1984-01-10,11.63,0.0,22.31,1.39,Peshawar,34.0151,71.5805
1984-01-11,13.06,0.0,23.16,1.65,Peshawar,34.0151,71.5805
1984-01-12,8.71,0.83,60.65,2.42,Peshawar,34.0151,71.5805
1984-01-13,8.44,1.14,65.16,2.32,Peshawar,34.0151,71.5805
1984-01-14,10.13,2.0,33.26,2.13,Peshawar,34.0151,71.5805
1984-01-15,9.39,0.0,33.3,1.74,Peshawar,34.0151,71.5805
1984-01-16,9.45,0.0,35.43,1.9,Peshawar,34.0151,71.5805
1984-01-17,8.68,0.05,33.13,1.1,Peshawar,34.0151,71.5805
1984-01-18,7.43,0.0,52.21,1.83,Peshawar,34.0151,71.5805
1984-01-19,9.21,0.0,47.53,1.4,Peshawar,34.0151,71.5805
1984-01-20,9.53,0.07,40.82,1.63,Peshawar,34.0151,71.5805
1984-01-21,7.93,0.0,46.85,1.89,Peshawar,34.0151,71.5805
1984-01-22,8.67,0.0,46.9,1.8,Peshawar,34.0151,71.5805
1984-01-23,9.27,0.0,35.2,1.45,Peshawar,34.0151,71.5805
1984-01-24,9.15,0.0,27.78,1.97,Peshawar,34.0151,71.5805
1984-01-25,8.49,0.0,30.7,1.34,Peshawar,34.0151,71.5805
1984-01-26,9.09,0.0,32.89,1.32,Peshawar,34.0151,71.5805
1984-01-27,9.59,0.0,29.6,1.8,Peshawar,34.0151,71.5805
1984-01-28,10.05,0.0,27.36,1.53,Peshawar,34.0151,71.5805
1984-01-29,11.16,0.0,22.02,1.15,Peshawar,34.0151,71.5805
1984-01-30,9.6,0.0,21.4,1.82,Peshawar,34.0151,71.5805
1984-01-31,9.74,0.05,33.63,1.89,Peshawar,34.0151,71.5805
1984-02-01,8.45,1.59,61.76,2.9,Peshawar,34.0151,71.5805
1984-02-02,9.72,0.19,45.1,2.27,Peshawar,34.0151,71.5805
1984-02-03,6.85,3.68,64.68,2.36,Peshawar,34.0151,71.5805
1984-02-04,5.95,0.01,39.73,2.35,Peshawar,34.0151,71.5805
1984-02-05,6.9,0.03,33.0,2.65,Peshawar,34.0151,71.5805
1984-02-06,8.97,0.07,37.99,2.09,Peshawar,34.0151,71.5805
1984-02-07,7.24,0.13,63.38,1.77,Peshawar,34.0151,71.5805
1984-02-08,7.42,0.02,43.3,2.12,Peshawar,34.0151,71.5805
1984-02-09,6.36,0.46,59.59,3.65,Peshawar,34.0151,71.5805
1984-02-10,9.13,0.0,58.62,1.96,Peshawar,34.0151,71.5805
1984-02-11,10.11,0.03,46.8,1.87,Peshawar,34.0151,71.5805
1984-02-12,11.1,0.0,42.04,1.76,Peshawar,34.0151,71.5805
1984-02-13,12.31,0.0,31.96,1.87,Peshawar,34.0151,71.5805
1984-02-14,14.42,0.0,29.87,2.13,Peshawar,34.0151,71.5805
1984-02-15,13.64,0.13,48.93,2.83,Peshawar,34.0151,71.5805
1984-02-16,12.12,0.38,59.07,2.89,Peshawar,34.0151,71.5805
1984-02-17,9.74,6.54,71.61,3.08,Peshawar,34.0151,71.5805
1984-02-18,8.82,3.79,76.24,2.2,Peshawar,34.0151,71.5805
1984-02-19,6.51,11.33,53.19,4.09,Peshawar,34.0151,71.5805
1984-02-20,5.8,1.27,41.94,3.41,Peshawar,34.0151,71.5805
1984-02-21,6.72,3.26,38.33,3.09,Peshawar,34.0151,71.5805
1984-02-22,7.79,0.01,34.19,1.57,Peshawar,34.0151,71.5805
1984-02-23,7.43,0.0,29.92,2.58,Peshawar,34.0151,71.5805
1984-02-24,8.68,0.0,29.29,2.39,Peshawar,34.0151,71.5805
1984-02-25,9.58,0.0,29.32,1.44,Peshawar,34.0151,71.5805
1984-02-26,11.22,0.01,33.12,1.44,Peshawar,34.0151,71.5805
1984-02-27,12.18,0.0,35.93,2.21,Peshawar,34.0151,71.5805
1984-02-28,14.77,0.0,38.28,1.65,Peshawar,34.0151,71.5805
